course_code,ML,DS,Statistics,Computer_Vision,NLP,Software_Engineering,Algorithms,HCI,Optimization,Econimics,Finance/Quant,Computer_Architecture,Embedded_Systems,Robotics,Computer_Systems,Cognitive_Science,Apllied_Mathematics
COSE211,0.25,0.2,0.3,0.1,0.2,0.35,1,0.05,0.45,0.1,0.15,0.1,0.05,0.15,0.25,0.1,0.55
COSE212,0.15,0.1,0.05,0.05,0.2,0.9,0.55,0.05,0.1,0,0,0.2,0.05,0.05,0.55,0.05,0.25
COSE213,0.25,0.3,0.05,0.1,0.1,0.75,1,0.05,0.3,0,0,0.2,0.15,0.2,0.45,0.05,0.2
COSE214,0.35,0.3,0.25,0.1,0.1,0.35,1,0.05,0.75,0.05,0.05,0.1,0.1,0.25,0.25,0.05,0.5
COSE215,0.15,0.05,0.05,0.05,0.25,0.3,1,0,0.15,0,0,0.1,0.05,0.05,0.2,0.05,0.45
COSE221,0.05,0,0,0.05,0,0.3,0.25,0,0.05,0,0,1,0.75,0.2,0.55,0,0.25
COSE222,0.05,0,0,0.05,0,0.25,0.25,0,0.1,0,0,1,0.65,0.2,0.85,0,0.2
COSE242,0.05,0.15,0.1,0,0,0.35,0.3,0,0.2,0,0,0.25,0.35,0.15,0.9,0,0.2
COSE281,0.3,0.25,0.35,0.3,0.05,0.05,0.2,0,0.55,0.15,0.3,0.1,0.25,0.35,0.1,0.05,1
COSE283,0.55,0.55,1,0.2,0.15,0.05,0.25,0,0.45,0.35,0.65,0,0.1,0.2,0.1,0.15,0.75
COSE284,0.05,0,0.1,0.1,0,0.05,0.1,0,0.2,0,0,0.25,0.55,0.2,0.1,0,0.8
COSE312,0.1,0.05,0.05,0.05,0.25,0.8,0.8,0.05,0.1,0,0,0.15,0.1,0.05,0.65,0.05,0.2
COSE321,0.05,0.1,0.1,0,0,0.5,0.4,0,0.3,0,0,0.2,0.25,0.1,1,0,0.2
COSE322,0.05,0.1,0,0,0,0.8,0.35,0,0.1,0,0,0.65,0.45,0.1,1,0,0.15
COSE331,0.2,0.1,0.1,0.6,0.05,0.6,0.55,0.3,0.2,0,0,0.15,0.1,0.15,0.2,0.1,0.6
COSE341,0.05,0.1,0,0,0,0.7,0.4,0,0.15,0,0,0.6,0.35,0.1,1,0,0.1
COSE342,0.05,0.1,0.1,0,0,0.5,0.35,0,0.2,0,0,0.2,0.25,0.1,1,0,0.15
COSE354,0.2,0.1,0.15,0,0,0.65,0.65,0,0.1,0,0,0.25,0.25,0.05,0.8,0,0.45
COSE361,0.85,0.4,0.35,0.45,0.45,0.25,0.65,0.15,0.55,0.05,0.05,0.05,0.1,0.55,0.1,0.55,0.35
COSE362,1,0.75,0.8,0.4,0.4,0.2,0.4,0.05,0.75,0.15,0.25,0.05,0.1,0.25,0.1,0.2,0.6
COSE363,0.15,0.2,0.25,0,0.1,0.5,0.55,0,0.1,0,0.1,0.15,0.15,0,0.65,0.1,0.4
COSE371,0.2,0.8,0.1,0,0,0.75,0.4,0.05,0.1,0,0,0.05,0.05,0,0.65,0,0.1
COSE380,0.3,0.3,0.45,0.45,0.1,0.15,0.25,0,0.3,0,0,0.15,0.6,0.35,0.2,0.15,0.8
COSE382,0.6,0.55,1,0.2,0.1,0.05,0.25,0,0.4,0.3,0.6,0.05,0.1,0.25,0.1,0.15,0.8
COSE385,0.2,0.15,0.25,0.35,0.1,0.1,0.15,0,0.25,0,0,0.2,0.7,0.45,0.2,0.1,0.9
COSE389,0,0,0,0,0,0.15,0,0.15,0,0.55,0.4,0,0,0,0,0.1,0
COSE394,0,0.1,0,0,0,0.5,0,0.4,0,0.5,0.3,0,0,0,0,0.15,0
COSE401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSE402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSE403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSE404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSE405,0.5,0.55,0.9,0,0,0,0.2,0,0.4,0.2,0.4,0,0,0.15,0.1,0.1,0.7
COSE407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSE413,0.05,0,0,0,0,0.25,0.2,0,0.4,0,0,0.9,0.9,0.2,0.7,0,0.2
COSE416,0.85,0.3,0.35,0.8,0.05,0.35,0.45,0.1,0.55,0,0,0.2,0.55,1,0.3,0.25,0.45
COSE419,0.05,0,0,0,0,1,0.75,0,0.15,0,0,0.1,0.1,0,0.4,0,0.4
