course_code,field,previous,updated,reason
COSE281,Optimization,0.6,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
COSE283,ML,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
COSE283,DS,0.5,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
COSE361,Optimization,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
COSE361,Robotics,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
COSE361,Cognitive_Science,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
COSE382,ML,0.6,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
COSE382,DS,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
CSAI201,Computer_Vision,0.45,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
CSAI201,NLP,0.45,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
CSAI201,Optimization,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
CSAI201,Robotics,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
CSAI201,Cognitive_Science,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
DATA405,HCI,0.8,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
MATH221,ML,0.6,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
MATH221,Statistics,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
MATH221,Computer_Vision,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
MATH221,Optimization,0.75,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
MATH221,Robotics,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
MATH344,ML,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
MATH344,DS,0.5,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
MATH344,Optimization,0.45,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
STAT221,ML,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
STAT221,DS,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
STAT232,ML,0.55,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
STAT232,DS,0.65,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
STAT412,ML,0.45,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
STAT412,DS,0.5,0.4,기초·간접 연결로 보수적 분류; 강의계획서 미검증
