course_code,course_name,department
COSE211,이산수학,COSE
COSE212,프로그래밍언어,COSE
COSE213,자료구조,COSE
COSE214,알고리즘,COSE
COSE215,계산이론,COSE
COSE221,논리설계,COSE
COSE222,컴퓨터구조,COSE
COSE242,데이터통신,COSE
COSE281,공학수학,COSE
COSE283,확률이론,COSE
COSE284,전자기이론,COSE
COSE312,컴파일러,COSE
COSE321,컴퓨터네트워크설계,COSE
COSE322,시스템프로그래밍,COSE
COSE331,컴퓨터그래픽스,COSE
COSE341,운영체제,COSE
COSE342,컴퓨터네트워크,COSE
COSE354,정보보호,COSE
COSE361,인공지능,COSE
COSE362,기계학습,COSE
COSE363,정보와정보보호,COSE
COSE371,데이터베이스,COSE
COSE380,데이터신호시스템,COSE
COSE382,확률및랜덤과정,COSE
COSE385,신호및시스템,COSE
COSE389,기업가정신리더십,COSE
COSE394,창의적소프트웨어창업방법론,COSE
COSE401,현장실습맞춤설실습 I,COSE
COSE402,현장실습맞춤설실습 II,COSE
COSE403,현장실습맞춤설실습 III,COSE
COSE404,현장실습맞춤설실습 IV,COSE
COSE405,컴퓨터확률모델링,COSE
COSE407,개발연구프로젝트,COSE
COSE413,저전력컴퓨팅,COSE
COSE416,인공지능과자율주행자동차,COSE
COSE419,소프트웨어검증론,COSE
COSE421,양체드시스템,COSE
COSE423,블록체인기초입문,COSE
COSE424,블록체인입문및실습,COSE
COSE432,인간컴퓨터상호작용입문,COSE
COSE434,게임프로그래밍,COSE
COSE436,인터넷브라우저시각화,COSE
COSE441,인터넷프로토콜,COSE
COSE444,클라우드컴퓨팅,COSE
COSE454,클라우드컴퓨팅,COSE
COSE455,소프트웨어보안,COSE
COSE457,실전SW프로젝트,COSE
COSE461,자연어처리,COSE
COSE471,데이터과학,COSE
COSE474,딥러닝,COSE
COSE475,고급딥러닝,COSE
COSE480,산머냅스레디자인,COSE
COSE483,무선회로설계,COSE
COSE485,정보이론과추론학습,COSE
COSE490,전산특강,COSE
CSAI201,기초인공지능,CSAI
CSAI202,기초딥러닝,CSAI
CSAI302,CPU구조및프로그래밍,CSAI
CSAI303,데이터엔지니어링,CSAI
CSAI304,AI&그래픽스,CSAI
CSAI306,멀티모달학습,CSAI
CSAI308,3차원컴퓨터비전,CSAI
CSAI310,고급강화학습,CSAI
CSAI350,인공지능콜라캐공 I,CSAI
CSAI351,인공지능콜라캐공 II,CSAI
CSAI401,AI보안입문,CSAI
CSAI402,의료인공지능,CSAI
CSAI403,인터랙티브 AI,CSAI
CSAI404,음성및오디오처리,CSAI
CSAI405,생성형 AI,CSAI
CSAI406,AI&HCI,CSAI
CSAI407,지능형인지로봇,CSAI
CSAI408,메타러닝,CSAI
CSAI409,인공지능시스템,CSAI
CSAI410,고급자연어처리,CSAI
CSAI411,정보검색,CSAI
CSAI431,인공지능응용 I,CSAI
CSAI432,인공지능응용 II,CSAI
DATA202,계산복잡도기초,DATA
DATA301,데이터실전설계분석,DATA
DATA302,기초컴퓨터브레인어렝및응용,DATA
DATA303,고급기계학습,DATA
DATA304,빅데이터분석,DATA
DATA306,디자인씽킹,DATA
DATA341,데이터사라화,DATA
DATA401,데이터관리론,DATA
DATA402,데이터모델링론,DATA
DATA403,강화학습,DATA
DATA405,데이터프레젠테이션,DATA
DATA407,데이터과학응용 I,DATA
DATA408,데이터과학응용 II,DATA
DATA410,데이터과학응용 III,DATA
DATA412,데이터과학응용 IV,DATA
DATA421,졸업프로젝트(캡스톤디자인) I,DATA
DATA422,졸업프로젝트(캡스톤디자인) II,DATA
DATA423,기업현장실습 I,DATA
DATA424,기업현장실습 II,DATA
DATA425,기업현장실습 III,DATA
DATA426,기업현장실습 IV,DATA
MATH221,선형대수 I 및연습,MATH
MATH344,확률과정통론,MATH
SATA302,시계열분석,SATA
SATA332,비모수통계학,SATA
SATA404,베이즈통계게론,SATA
STAT221,수리통계학,STAT
STAT232,시계열분석,STAT
STAT323,통계계산법,STAT
STAT332,비모수통계학,STAT
STAT341,실전데이터학습,STAT
STAT342,회귀분석,STAT
STAT343,범주형자료분석,STAT
STAT346,통계적데이터모델링 I,STAT
STAT401,비선형통계론,STAT
STAT404,베이즈통계론 I,STAT
STAT409,통계적데이터모델링 II,STAT
STAT412,수리통계특강,STAT
STAT440,데이터과학특강,STAT
STAT443,선형방법론,STAT
